用户序号,日期,基金代码,基金名称,配置比例
1,2017-07-01,001826,国寿安保增金宝,1
1,2017-11-25,001826,国寿安保增金宝,1
2,2017-07-01,001826,国寿安保增金宝,1
2,2017-11-25,001826,国寿安保增金宝,1
3,2017-07-01,001826,国寿安保增金宝,1
4,2017-07-01,001826,国寿安保增金宝,1
5,2017-07-01,001826,国寿安保增金宝,1
5,2017-11-25,001826,国寿安保增金宝,1
6,2017-07-01,001826,国寿安保增金宝,1
6,2017-11-25,001826,国寿安保增金宝,1
7,2017-07-01,020026,国泰成长优选,0.236
7,2017-07-01,110027,易方达安心回报A,0.618
7,2017-07-01,000307,易方达黄金ETF联接A,0.146
7,2017-10-24,020026,国泰成长优选,0.236
7,2017-10-24,110027,易方达安心回报A,0.618
7,2017-10-24,000307,易方达黄金ETF联接A,0.146
8,2017-07-01,020026,国泰成长优选,0.146
8,2017-07-01,110027,易方达安心回报A,0.618
8,2017-07-01,000307,易方达黄金ETF联接A,0.236
8,2017-11-07,020026,国泰成长优选,0.146
8,2017-11-07,110027,易方达安心回报A,0.618
8,2017-11-07,000307,易方达黄金ETF联接A,0.236
9,2017-07-01,001826,国寿安保增金宝,1
9,2017-11-25,001826,国寿安保增金宝,1
10,2017-07-01,020026,国泰成长优选,0.146
10,2017-07-01,110027,易方达安心回报A,0.618
10,2017-07-01,000307,易方达黄金ETF联接A,0.236
10,2017-11-07,020026,国泰成长优选,0.146
10,2017-11-07,110027,易方达安心回报A,0.618
10,2017-11-07,000307,易方达黄金ETF联接A,0.236
10,2017-11-27,020026,国泰成长优选,0.143411754
10,2017-11-27,110027,易方达安心回报A,0.616785825
10,2017-11-27,000307,易方达黄金ETF联接A,0.239802421
11,2017-07-01,020026,国泰成长优选,0.146
11,2017-07-01,110027,易方达安心回报A,0.618
11,2017-07-01,000307,易方达黄金ETF联接A,0.236
11,2017-11-07,020026,国泰成长优选,0.146
11,2017-11-07,110027,易方达安心回报A,0.618
11,2017-11-07,000307,易方达黄金ETF联接A,0.236
12,2017-07-01,020026,国泰成长优选,0.146
12,2017-07-01,110027,易方达安心回报A,0.618
12,2017-07-01,000307,易方达黄金ETF联接A,0.236
12,2017-11-07,020026,国泰成长优选,0.146
12,2017-11-07,110027,易方达安心回报A,0.618
12,2017-11-07,000307,易方达黄金ETF联接A,0.236
13,2017-07-01,020026,国泰成长优选,0.146
13,2017-07-01,110027,易方达安心回报A,0.618
13,2017-07-01,000307,易方达黄金ETF联接A,0.236
13,2017-11-07,020026,国泰成长优选,0.146
13,2017-11-07,110027,易方达安心回报A,0.618
13,2017-11-07,000307,易方达黄金ETF联接A,0.236
13,2017-11-27,020026,国泰成长优选,0.143411754
13,2017-11-27,110027,易方达安心回报A,0.616785825
13,2017-11-27,000307,易方达黄金ETF联接A,0.239802421
14,2017-07-01,020026,国泰成长优选,0.236
14,2017-07-01,110027,易方达安心回报A,0.618
14,2017-07-01,000307,易方达黄金ETF联接A,0.146
14,2017-10-24,020026,国泰成长优选,0.236
14,2017-10-24,110027,易方达安心回报A,0.618
14,2017-10-24,000307,易方达黄金ETF联接A,0.146
14,2017-11-27,020026,国泰成长优选,0.238639265
14,2017-11-27,110027,易方达安心回报A,0.613997055
14,2017-11-27,000307,易方达黄金ETF联接A,0.14736368
15,2017-07-01,020026,国泰成长优选,0.146
15,2017-07-01,110027,易方达安心回报A,0.618
15,2017-07-01,000307,易方达黄金ETF联接A,0.236
15,2017-11-07,020026,国泰成长优选,0.146
15,2017-11-07,110027,易方达安心回报A,0.618
15,2017-11-07,000307,易方达黄金ETF联接A,0.236
16,2017-07-01,001826,国寿安保增金宝,1
17,2017-07-01,020026,国泰成长优选,0.192269515
17,2017-07-01,110027,易方达安心回报A,0.395666392
17,2017-07-01,000307,易方达黄金ETF联接A,0.412064093
17,2017-09-13,020026,国泰成长优选,0.20571146
17,2017-09-13,110027,易方达安心回报A,0.47374874
17,2017-09-13,000307,易方达黄金ETF联接A,0.3205398
17,2017-09-28,020026,国泰成长优选,0.193798276
17,2017-09-28,110027,易方达安心回报A,0.591411151
17,2017-09-28,000307,易方达黄金ETF联接A,0.214790574
17,2017-10-16,020026,国泰成长优选,0.208050249
17,2017-10-16,110027,易方达安心回报A,0.501738737
17,2017-10-16,000307,易方达黄金ETF联接A,0.290211014
17,2017-11-06,020026,国泰成长优选,0.152230144
17,2017-11-06,110027,易方达安心回报A,0.479082098
17,2017-11-06,000307,易方达黄金ETF联接A,0.369851751
17,2017-11-14,020026,国泰成长优选,0.124239972
17,2017-11-14,110027,易方达安心回报A,0.40858382
17,2017-11-14,000307,易方达黄金ETF联接A,0.467176208
17,2017-11-27,020026,国泰成长优选,0.10046723
17,2017-11-27,110027,易方达安心回报A,0.298037074
17,2017-11-27,000307,易方达黄金ETF联接A,0.601495696
18,2017-07-01,020026,国泰成长优选,0.618
18,2017-07-01,110027,易方达安心回报A,0.236
18,2017-07-01,000307,易方达黄金ETF联接A,0.146
18,2017-10-12,020026,国泰成长优选,0.618
18,2017-10-12,110027,易方达安心回报A,0.236
18,2017-10-12,000307,易方达黄金ETF联接A,0.146
18,2017-11-13,020026,国泰成长优选,0.618
18,2017-11-13,110027,易方达安心回报A,0.236
18,2017-11-13,000307,易方达黄金ETF联接A,0.146
18,2017-11-24,020026,国泰成长优选,0.618
18,2017-11-24,110027,易方达安心回报A,0.236
18,2017-11-24,000307,易方达黄金ETF联接A,0.146
18,2017-11-27,020026,国泰成长优选,0.618
18,2017-11-27,110027,易方达安心回报A,0.236
18,2017-11-27,000307,易方达黄金ETF联接A,0.146
19,2017-07-01,020026,国泰成长优选,0.236
19,2017-07-01,110027,易方达安心回报A,0.618
19,2017-07-01,000307,易方达黄金ETF联接A,0.146
19,2017-10-24,020026,国泰成长优选,0.236
19,2017-10-24,110027,易方达安心回报A,0.618
19,2017-10-24,000307,易方达黄金ETF联接A,0.146
20,2017-07-01,001826,国寿安保增金宝,1
21,2017-07-01,001826,国寿安保增金宝,1
21,2017-11-25,001826,国寿安保增金宝,1
22,2017-07-01,020026,国泰成长优选,0.192269515
22,2017-07-01,110027,易方达安心回报A,0.395666392
22,2017-07-01,000307,易方达黄金ETF联接A,0.412064093
22,2017-09-13,020026,国泰成长优选,0.20571146
22,2017-09-13,110027,易方达安心回报A,0.47374874
22,2017-09-13,000307,易方达黄金ETF联接A,0.3205398
22,2017-09-28,020026,国泰成长优选,0.193798276
22,2017-09-28,110027,易方达安心回报A,0.591411151
22,2017-09-28,000307,易方达黄金ETF联接A,0.214790574
22,2017-10-16,020026,国泰成长优选,0.208050249
22,2017-10-16,110027,易方达安心回报A,0.501738737
22,2017-10-16,000307,易方达黄金ETF联接A,0.290211014
22,2017-11-06,020026,国泰成长优选,0.152230144
22,2017-11-06,110027,易方达安心回报A,0.479082098
22,2017-11-06,000307,易方达黄金ETF联接A,0.369851751
22,2017-11-14,020026,国泰成长优选,0.124239972
22,2017-11-14,110027,易方达安心回报A,0.40858382
22,2017-11-14,000307,易方达黄金ETF联接A,0.467176208
22,2017-11-29,001826,国寿安保增金宝,1
23,2017-07-01,020026,国泰成长优选,0.236
23,2017-07-01,110027,易方达安心回报A,0.618
23,2017-07-01,000307,易方达黄金ETF联接A,0.146
23,2017-10-24,020026,国泰成长优选,0.236
23,2017-10-24,110027,易方达安心回报A,0.618
23,2017-10-24,000307,易方达黄金ETF联接A,0.146
24,2017-07-01,020026,国泰成长优选,0.236
24,2017-07-01,110027,易方达安心回报A,0.618
24,2017-07-01,000307,易方达黄金ETF联接A,0.146
24,2017-10-24,020026,国泰成长优选,0.236
24,2017-10-24,110027,易方达安心回报A,0.618
24,2017-10-24,000307,易方达黄金ETF联接A,0.146
25,2017-07-01,001826,国寿安保增金宝,1
25,2017-11-25,001826,国寿安保增金宝,1
26,2017-07-01,001826,国寿安保增金宝,1
26,2017-11-25,001826,国寿安保增金宝,1
27,2017-07-01,020026,国泰成长优选,0.146
27,2017-07-01,110027,易方达安心回报A,0.618
27,2017-07-01,000307,易方达黄金ETF联接A,0.236
27,2017-11-07,020026,国泰成长优选,0.146
27,2017-11-07,110027,易方达安心回报A,0.618
27,2017-11-07,000307,易方达黄金ETF联接A,0.236
28,2017-07-01,020026,国泰成长优选,0.236
28,2017-07-01,110027,易方达安心回报A,0.618
28,2017-07-01,000307,易方达黄金ETF联接A,0.146
28,2017-10-24,020026,国泰成长优选,0.236
28,2017-10-24,110027,易方达安心回报A,0.618
28,2017-10-24,000307,易方达黄金ETF联接A,0.146
29,2017-07-01,020026,国泰成长优选,0.236
29,2017-07-01,110027,易方达安心回报A,0.618
29,2017-07-01,000307,易方达黄金ETF联接A,0.146
29,2017-10-24,020026,国泰成长优选,0.236
29,2017-10-24,110027,易方达安心回报A,0.618
29,2017-10-24,000307,易方达黄金ETF联接A,0.146
29,2017-11-27,020026,国泰成长优选,0.238639265
29,2017-11-27,110027,易方达安心回报A,0.613997055
29,2017-11-27,000307,易方达黄金ETF联接A,0.14736368
30,2017-07-01,020026,国泰成长优选,0.146
30,2017-07-01,110027,易方达安心回报A,0.618
30,2017-07-01,000307,易方达黄金ETF联接A,0.236
30,2017-11-07,020026,国泰成长优选,0.146
30,2017-11-07,110027,易方达安心回报A,0.618
30,2017-11-07,000307,易方达黄金ETF联接A,0.236
30,2017-11-27,020026,国泰成长优选,0.143411754
30,2017-11-27,110027,易方达安心回报A,0.616785825
30,2017-11-27,000307,易方达黄金ETF联接A,0.239802421
31,2017-07-01,020026,国泰成长优选,0.146
31,2017-07-01,110027,易方达安心回报A,0.618
31,2017-07-01,000307,易方达黄金ETF联接A,0.236
31,2017-11-07,020026,国泰成长优选,0.146
31,2017-11-07,110027,易方达安心回报A,0.618
31,2017-11-07,000307,易方达黄金ETF联接A,0.236
32,2017-07-01,020026,国泰成长优选,0.146
32,2017-07-01,110027,易方达安心回报A,0.618
32,2017-07-01,000307,易方达黄金ETF联接A,0.236
32,2017-11-07,020026,国泰成长优选,0.146
32,2017-11-07,110027,易方达安心回报A,0.618
32,2017-11-07,000307,易方达黄金ETF联接A,0.236
33,2017-07-01,020026,国泰成长优选,0.618
33,2017-07-01,110027,易方达安心回报A,0.236
33,2017-07-01,000307,易方达黄金ETF联接A,0.146
33,2017-10-12,020026,国泰成长优选,0.618
33,2017-10-12,110027,易方达安心回报A,0.236
33,2017-10-12,000307,易方达黄金ETF联接A,0.146
33,2017-11-13,020026,国泰成长优选,0.618
33,2017-11-13,110027,易方达安心回报A,0.236
33,2017-11-13,000307,易方达黄金ETF联接A,0.146
33,2017-11-24,020026,国泰成长优选,0.618
33,2017-11-24,110027,易方达安心回报A,0.236
33,2017-11-24,000307,易方达黄金ETF联接A,0.146
33,2017-11-27,020026,国泰成长优选,0.618
33,2017-11-27,110027,易方达安心回报A,0.236
33,2017-11-27,000307,易方达黄金ETF联接A,0.146
34,2017-07-01,020026,国泰成长优选,0.618
34,2017-07-01,110027,易方达安心回报A,0.236
