,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-03,2017-10-04,2017-10-06,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27,2017-10-30,2017-10-31,2017-11-01,2017-11-02,2017-11-03,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17
0,1000.1919,1000.3171640335561,1000.5798973366893,1000.8914879225192,1000.9906762689723,1001.1668205982753,1001.3366385143852,1001.4269490658127,1001.5623520035961,1001.653604349487,1001.7490218718373,1001.8585531098888,1001.9667738707956,1002.0771906092764,1002.1825890881844,1002.309014421798,1002.388317111019,1002.4674155731224,1002.5447358848854,1002.7587090078656,1002.8662548794065,1002.9527721512152,1003.0351145738084,1003.1185169435852,1003.2961892953064,1003.4168657609547,1003.5163043723517,1003.607714672517,1003.6991433353236,1003.8833622760916,1004.0005455809699,1004.092381510874,1004.1915657563196,1004.2915531105223,1004.461529455886,1004.5694287133804,1004.6794692486017,1004.7897629607356,1004.9004104094327,1005.0102962693112,1005.1201941452084,1005.2342953896476,1005.3457557683203,1005.4561728926764,1005.5702217863676,1005.6823026432879,1005.7918817869839,1005.8981537572135,1006.0059055674443,1006.1144435445958,1006.2237276954536,1006.3307194644194,1006.437511280369,1006.5518023241499,1006.6633987224736,1006.77500749349,1006.8865782998204,1006.996147697271,1007.1059807671004,1007.218474505152,1007.3327434410847,1007.4471865140672,1007.558267640852,1007.6693610154422,1007.7842252459044,1007.89910256974,1008.0139929884419,1008.1288965035028,1008.2438131164153,1008.3608803055562,1008.4798971402588,1008.5976472530488,1008.7094402162704,1008.8211043513022,1008.9540568846446,1009.0654555020653,1009.1959579374252,1009.3061015842746,1009.4239481646956,1009.5797830338133,1009.6893931108573,1009.7967836747084,1009.9056195720532,1010.0161335440027,1010.0161335440027,1010.1312450827428,1010.2452080898128,1010.3585070899004,1010.4779314654384,1010.4779314654384,1010.5935705599153,1010.7087782269592,1010.8229984259864,1010.9366553639296,1010.9366553639296,1011.0513562368473,1011.163572826876,1011.2764186816034,1011.3894490469196
1,2000.3838,2000.6343280671122,2001.1597946733787,2001.7829758450384,2001.9813525379445,2002.3336411965506,2002.6732770287704,2002.8538981316253,2003.1247040071921,2003.307208698974,2003.4980437436745,2003.7171062197767,2003.9335477415912,2004.1543812185525,2004.3651781763688,2004.618028843596,2004.776634222038,2004.9348311462445,2005.0894717697709,2005.517418015731,2005.732509758813,2005.9055443024301,2006.0702291476168,2006.2370338871704,2006.5923785906127,2006.833731521909,2007.0326087447033,2007.215429345034,2007.3982866706478,2007.766724552183,2008.0010911619397,2008.1847630217483,2008.3831315126401,2008.5831062210445,2008.923058911772,2009.1388574267605,2009.358938497203,2009.5795259214715,2009.8008208188653,2010.0205925386224,2010.2403882904168,2010.4685907792953,2010.691511536641,2010.9123457853527,2011.1404435727359,2011.3646052865759,2011.5837635739679,2011.796307514428,2012.0118111348886,2012.2288870891919,2012.4474553909072,2012.6614389288388,2012.875022560738,2013.1036046482998,2013.3267974449475,2013.55001498698,2013.7731565996407,2013.992295394542,2014.2119615342008,2014.4369490103045,2014.6654868821693,2014.8943730281344,2015.1165352817045,2015.3387220308844,2015.5684504918088,2015.79820513948,2016.0279859768839,2016.2577930070056,2016.4876262328305,2016.7217606111124,2016.9597942805174,2017.195294506097,2017.4188804325408,2017.6422087026044,2017.9081137692885,2018.130911004131,2018.3919158748504,2018.6122031685493,2018.8478963293912,2019.1595660676267,2019.3787862217146,2019.593567349417,2019.8112391441061,2020.0322670880055,2020.0322670880055,2020.2624901654856,2020.4904161796253,2020.7170141798008,2020.9558629308767,2020.9558629308767,2021.1871411198306,2021.4175564539185,2021.645996851973,2021.8733107278588,2021.8733107278588,2022.1027124736938,2022.327145653752,2022.5528373632064,2022.7788980938385
2,5000.9595,5001.585820167779,5002.899486683447,5004.457439612595,5004.953381344861,5005.834102991375,5006.683192571926,5007.134745329065,5007.811760017979,5008.268021747435,5008.745109359187,5009.292765549444,5009.833869353979,5010.3859530463815,5010.912945440923,5011.54507210899,5011.941585555095,5012.337077865613,5012.723679424427,5013.793545039327,5014.331274397033,5014.763860756075,5015.175572869043,5015.592584717927,5016.480946476532,5017.0843288047745,5017.581521861759,5018.038573362584,5018.495716676619,5019.416811380458,5020.002727904851,5020.461907554372,5020.957828781599,5021.457765552613,5022.307647279432,5022.847143566904,5023.397346243009,5023.948814803679,5024.502052047165,5025.051481346557,5025.600970726042,5026.171476948239,5026.728778841602,5027.280864463382,5027.851108931838,5028.41151321644,5028.95940893492,5029.490768786069,5030.029527837221,5030.57221772298,5031.118638477269,5031.653597322098,5032.1875564018455,5032.75901162075,5033.316993612369,5033.87503746745,5034.432891499102,5034.980738486355,5035.5299038355015,5036.09237252576,5036.663717205423,5037.235932570336,5037.791338204261,5038.34680507721,5038.92112622952,5039.495512848699,5040.069964942209,5040.644482517512,5041.219065582074,5041.804401527779,5042.399485701291,5042.9882362652415,5043.547201081349,5044.105521756509,5044.770284423222,5045.327277510325,5045.979789687125,5046.530507921371,5047.1197408234775,5047.898915169065,5048.446965554284,5048.98391837354,5049.528097860262,5050.080667720011,5050.080667720011,5050.656225413711,5051.226040449062,5051.792535449498,5052.389657327189,5052.389657327189,5052.967852799573,5053.543891134792,5054.114992129929,5054.683276819645,5054.683276819645,5055.256781184233,5055.817864134377,5056.382093408014,5056.947245234594
3,10001.919,10003.171640335559,10005.798973366896,10008.91487922519,10009.906762689721,10011.66820598275,10013.366385143852,10014.26949065813,10015.623520035959,10016.53604349487,10017.490218718374,10018.585531098888,10019.667738707958,10020.771906092763,10021.825890881846,10023.09014421798,10023.88317111019,10024.674155731225,10025.447358848854,10027.587090078654,10028.662548794066,10029.52772151215,10030.351145738086,10031.185169435854,10032.961892953064,10034.168657609549,10035.163043723518,10036.07714672517,10036.991433353238,10038.833622760916,10040.005455809702,10040.923815108745,10041.915657563199,10042.915531105225,10044.615294558864,10045.694287133803,10046.794692486015,10047.897629607358,10049.00410409433,10050.102962693114,10051.201941452084,10052.342953896476,10053.457557683205,10054.561728926765,10055.702217863676,10056.82302643288,10057.91881786984,10058.981537572135,10060.059055674445,10061.14443544596,10062.237276954538,10063.307194644196,10064.375112803691,10065.5180232415,10066.633987224737,10067.7500749349,10068.865782998204,10069.96147697271,10071.059807671003,10072.18474505152,10073.327434410843,10074.471865140673,10075.582676408521,10076.69361015442,10077.84225245904,10078.991025697398,10080.139929884417,10081.288965035024,10082.438131164148,10083.608803055558,10084.798971402584,10085.976472530483,10087.094402162698,10088.211043513018,10089.540568846443,10090.65455502065,10091.95957937425,10093.061015842744,10094.239481646951,10095.79783033813,10096.893931108569,10097.96783674708,10099.056195720525,10100.161335440022,10100.161335440022,10101.31245082742,10102.452080898123,10103.585070898996,10104.779314654375,10104.779314654375,10105.935705599144,10107.087782269582,10108.229984259857,10109.366553639291,10109.366553639293,10110.513562368467,10111.635728268757,10112.76418681603,10113.89449046919
4,15002.8785,15004.75746050334,15008.698460050342,15013.372318837786,15014.860144034585,15017.502308974128,15020.049577715776,15021.40423598719,15023.435280053936,15024.804065242302,15026.235328077557,15027.878296648327,15029.501608061932,15031.157859139143,15032.73883632277,15034.635216326968,15035.824756665283,15037.011233596832,15038.171038273282,15041.380635117981,15042.993823191096,15044.291582268224,15045.526718607129,15046.777754153782,15049.442839429597,15051.252986414322,15052.744565585275,15054.115720087757,15055.487150029856,15058.250434141371,15060.00818371455,15061.385722663113,15062.873486344799,15064.373296657834,15066.922941838291,15068.541430700703,15070.192038729023,15071.846444411036,15073.506156141497,15075.154444039668,15076.802912178126,15078.514430844714,15080.186336524806,15081.842593390149,15083.553326795514,15085.234539649318,15086.878226804758,15088.472306358202,15090.08858351166,15091.716653168936,15093.355915431805,15094.960791966292,15096.562669205534,15098.277034862249,15099.950980837104,15101.625112402351,15103.298674497308,15104.942215459065,15106.589711506504,15108.27711757728,15109.99115161627,15111.707797711006,15113.374014612784,15115.040415231631,15116.763378688565,15118.486538546102,15120.20989482663,15121.93344755254,15123.657196746228,15125.41320458334,15127.198457103877,15128.964708795733,15130.641603244052,15132.316565269532,15134.310853269668,15135.981832530977,15137.939369061376,15139.591523764117,15141.359222470432,15143.696745507195,15145.34089666286,15146.951755120625,15148.584293580794,15150.24200316004,15150.242003160041,15151.96867624114,15153.678121347193,15155.3776063485,15157.168971981573,15157.168971981573,15158.903558398726,15160.631673404385,15162.344976389795,15164.04983045894,15164.04983045894,15165.770343552706,15167.453592403137,15169.146280224048,15170.841735703789
5,20003.838,20006.343280671117,20011.5979467338,20017.82975845038,20019.813525379443,20023.3364119655,20026.732770287705,20028.53898131626,20031.247040071918,20033.07208698974,20034.980437436752,20037.171062197776,20039.33547741592,20041.543812185526,20043.65178176369,20046.18028843596,20047.76634222038,20049.34831146245,20050.89471769771,20055.174180157308,20057.32509758813,20059.0554430243,20060.702291476173,20062.370338871708,20065.92378590613,20068.337315219098,20070.32608744704,20072.15429345034,20073.982866706483,20077.667245521832,20080.010911619403,20081.84763021749,20083.831315126397,20085.83106221045,20089.230589117728,20091.38857426761,20093.58938497204,20095.79525921472,20098.00820818866,20100.205925386228,20102.403882904167,20104.685907792955,20106.91511536641,20109.12345785353,20111.404435727352,20113.64605286576,20115.83763573968,20117.963075144275,20120.118111348893,20122.28887089192,20124.474553909084,20126.614389288392,20128.750225607382,20131.036046483,20133.267974449474,20135.5001498698,20137.731565996408,20139.92295394542,20142.119615342006,20144.36949010304,20146.65486882169,20148.943730281346,20151.165352817043,20153.38722030884,20155.68450491808,20157.9820513948,20160.279859768834,20162.57793007005,20164.876262328296,20167.21760611112,20169.597942805165,20171.952945060966,20174.1888043254,20176.42208702604,20179.081137692887,20181.3091100413,20183.9191587485,20186.122031685485,20188.478963293903,20191.59566067626,20193.787862217137,20195.93567349416,20198.11239144105,20200.322670880043,20200.322670880043,20202.624901654843,20204.904161796247,20207.170141798,20209.558629308754,20209.558629308754,20211.87141119829,20214.175564539168,20216.45996851972,20218.733107278586,20218.733107278586,20221.027124736942,20223.271456537517,20225.528373632063,20227.788980938385
6,30000.0,29997.782819871987,30278.71395051533,30360.887173683488,30379.645129216533,30107.29576686937,30154.1731705032,30172.332797192823,30246.984904982754,30310.20729085172,30183.915488853618,30216.714114345094,30585.2467290079,30753.9635354044,30841.692826985764,30908.488002493712,30726.68761894125,30561.19066103208,30620.63297775422,30733.43923747993,30818.814807160234,30884.64997846198,30879.147875642375,30629.366071224726,30563.620062296748,30641.60393517334,30661.524081446976,30666.67397294893,30661.198299145475,29396.231691871024,29646.67981074005,29690.020695523504,29664.202841125487,29689.323933090964,29694.732888124647,29715.234398270688,29678.92223453705,29670.110583852118,29607.14251271585,29731.99030621609,30038.94037023056,30126.993799547905,30083.974485271137,30078.215693319315,30108.596789543662,30256.475731886167,30252.097711623253,30232.005289792167,30184.854802612237,30204.018935056505,30251.707392121712,30207.167852979263,30245.234142932357,30152.345655080768,30191.11874206865,30257.729233017402,30178.33869643996,30219.948972616374,30178.03972088192,30190.017984294598,30079.17914593343,30089.786672259448,30147.747216474247,30147.747216474247,30297.70897874143,30297.70897874143,30297.70897874143,30297.70897874143,30297.70897874143,30401.87057753642,30366.381876235926,30508.861168312997,30625.496906809887,30745.922178498775,30761.58571870685,30768.722907948068,30905.590521452832,30836.719456388946,30741.179000912245,30883.093323530804,30987.365764916703,31106.243731434315,31086.473435114844,31111.90281968459,31111.90281968459,31193.103729070117,31099.308520317183,31027.02816001694,30940.365244313653,30940.365244313653,31020.2041910841,30947.13342246718,31156.610991811944,31595.97717836584,31595.97717836584,31422.840036556277,31242.59591101437,31391.02937845245,31256.867136264467
7,50000.0,49961.03619173962,50359.25963915613,50491.059788286766,50494.82027139903,50047.58657454793,50176.8164550228,50170.4514358483,50326.12861815994,50403.20837977552,50327.773274281535,50375.813044089366,50855.932479877374,51087.16740871264,51247.56807183749,51368.14215686949,51100.62886384157,50846.986616823204,50973.25901830656,51118.818155795096,51263.78966798118,51410.37594120191,51421.36422147517,51041.22983814369,51005.15629385351,51045.752879528,51072.00285154212,51068.275348660885,51083.7269127608,49734.570370884285,50063.272375460285,50082.09411088453,50036.28971579888,50132.41408989088,50182.76394767605,50185.79922506679,50134.74658287531,50126.548330549726,50033.73439468657,50235.78865799691,50697.6559509756,50884.58920441631,50715.31299471075,50707.12968177458,50771.528611837064,51009.6670109696,51006.23395617327,51001.513584966306,50919.35301913469,50955.44151912238,50976.58390959383,50860.10520976173,50912.217959762354,50758.003026830964,50830.49998950456,50866.99371620742,50748.26471041778,50804.5027325512,50721.95186308572,50741.31642195229,50578.185504745525,50663.50399715158,50668.484557191034,50668.484557191034,50861.94589222239,50861.94589222239,50861.94589222239,50861.94589222239,50861.94589222239,50976.884519812855,50923.354346754255,51108.68466078943,51316.9097149038,51447.065216066905,51516.8319246586,51494.85972827762,51650.25738558565,51536.99636988564,51414.20185767493,51556.50595848082,51716.60906391453,51845.18405514134,51817.4015009654,51842.63618333861,51842.63618333861,51951.88143225189,51813.907557750965,51721.84998651657,51625.02644372828,51625.02644372828,51785.30595924551,51686.3580462292,51981.34203424568,52601.34328697079,52601.34328697079,52388.18236994669,52138.216607471,52313.38223518966,52205.015888749665
8,100019.19,100031.7164033556,100057.98973366896,100089.14879225193,100099.06762689725,100116.68205982754,100133.66385143851,100142.69490658132,100156.23520035963,100165.36043494873,100174.90218718378,100185.8553109889,100196.6773870796,100207.71906092766,100218.25890881848,100230.90144217985,100238.83171110193,100246.74155731227,100254.47358848859,100275.87090078658,100286.62548794068,100295.27721512152,100303.5114573809,100311.85169435856,100329.61892953068,100341.68657609553,100351.6304372352,100360.77146725172,100369.9143335324,100388.33622760918,100400.05455809704,100409.23815108744,100419.15657563203,100429.15531105225,100446.15294558863,100456.94287133806,100467.94692486018,100478.9762960736,100490.04104094332,100501.02962693117,100512.01941452084,100523.4295389648,100534.57557683207,100545.61728926767,100557.02217863679,100568.23026432883,100579.18817869843,100589.8153757214,100600.59055674443,100611.44435445961,100622.37276954539,100633.07194644195,100643.75112803694,100655.18023241502,100666.33987224741,100677.50074934904,100688.65782998207,100699.61476972712,100710.59807671006,100721.84745051524,100733.27434410847,100744.71865140671,100755.82676408523,100766.93610154424,100778.42252459042,100789.91025697405,100801.39929884423,100812.88965035028,100824.38131164157,100836.08803055565,100847.9897140259,100859.7647253049,100870.94402162707,100882.11043513023,100895.4056884645,100906.54555020656,100919.59579374256,100930.6101584275,100942.3948164696,100957.97830338137,100968.93931108578,100979.6783674709,100990.56195720533,101001.61335440034,101001.61335440034,101013.12450827434,101024.52080898137,101035.8507089901,101047.7931465439,101047.7931465439,101059.3570559916,101070.87782269595,101082.29984259873,101093.66553639305,101093.66553639305,101105.13562368481,101116.35728268768,101127.64186816043,101138.94490469203
9,200000.0,199844.14476695852,201437.0385566245,201964.23915314712,201979.2810855961,200190.34629819173,200707.2658200912,200681.8057433932,201304.51447263977,201612.83351910207,201311.09309712608,201503.25217635746,203423.7299195095,204348.66963485046,204990.27228735,205472.568627478,204402.51545536626,203387.94646729282,203893.03607322625,204475.27262318038,205055.15867192482,205641.50376480765,205685.45688590067,204164.9193525748,204020.62517541405,204183.011518112,204288.01140616852,204273.10139464354,204334.9076510432,198938.2814835372,200253.0895018412,200328.3764435381,200145.1588631955,200529.65635956352,200731.0557907042,200743.19690026715,200538.98633150125,200506.1933221989,200134.9375787463,200943.15463198765,202790.6238039024,203538.3568176652,202861.251978843,202828.5187270984,203086.11444734826,204038.6680438784,204024.93582469304,204006.0543398652,203677.41207653878,203821.7660764896,203906.3356383753,203440.4208390469,203648.87183904945,203032.01210732386,203321.99995801825,203467.97486482968,202993.05884167113,203218.0109302048,202887.80745234288,202965.26568780915,202312.7420189821,202654.01598860632,202673.9382287641,202673.9382287641,203447.78356888954,203447.78356888954,203447.78356888954,203447.78356888954,203447.78356888954,203907.53807925145,203693.41738701702,204434.7386431577,205267.6388596152,205788.26086426762,206067.3276986344,205979.43891311047,206601.0295423426,206147.98547954246,205656.80743069973,206226.02383392327,206866.43625565807,207380.73622056536,207269.6060038616,207370.54473335444,207370.54473335444,207807.52572900755,207255.63023100386,206887.39994606626,206500.1057749131,206500.1057749131,207141.22383698198,206745.43218491672,207925.3681369826,210405.37314788307,210405.37314788307,209552.72947978665,208552.8664298839,209253.52894075858,208820.06355499855
